volcano,volcanoLabel,elevation,country,countryLabel,coord,mountainRange,mountainRangeLabel
http://www.wikidata.org/entity/Q1632630,Хроумюндартиндюр,561,http://www.wikidata.org/entity/Q189,Исландия,Point(-21.21666667 64.06666667),,
http://www.wikidata.org/entity/Q31454287,Сопка Углевая,557,http://www.wikidata.org/entity/Q159,Россия,Point(134.108888888 46.702777777),,
http://www.wikidata.org/entity/Q701516,Кайзерштуль,557,http://www.wikidata.org/entity/Q183,Германия,Point(7.666666666 48.083333333),,
http://www.wikidata.org/entity/Q21832475,Cerro Volcán,556,http://www.wikidata.org/entity/Q414,Аргентина,Point(-70.7905 -46.6619),,
http://www.wikidata.org/entity/Q31454296,Сопка Албан,555,http://www.wikidata.org/entity/Q159,Россия,Point(134.160833333 46.678333333),,
http://www.wikidata.org/entity/Q2160644,Rockeskyllerkopf,554.6,http://www.wikidata.org/entity/Q183,Германия,Point(6.68111 50.2536),http://www.wikidata.org/entity/Q666046,вулканический район Айфель
http://www.wikidata.org/entity/Q31617718,Mudan Shan,554,http://www.wikidata.org/entity/Q865,Китайская Республика (Тайвань),Point(121.8526625 25.0929021),,
http://www.wikidata.org/entity/Q31617718,Mudan Shan,554,http://www.wikidata.org/entity/Q865,Китайская Республика (Тайвань),Point(121.852777777 25.093888888),,
http://www.wikidata.org/entity/Q166972,Заводовский,551,http://www.wikidata.org/entity/Q145,Великобритания,Point(-27.58 -56.3),,
http://www.wikidata.org/entity/Q6919405,Mount Andromeda,550,http://www.wikidata.org/entity/Q145,Великобритания,Point(-26.7023778 -57.098361),,
http://www.wikidata.org/entity/Q6919405,Mount Andromeda,550,http://www.wikidata.org/entity/Q35086,Южная Георгия и Южные Сандвичевы острова,Point(-26.7023778 -57.098361),,
http://www.wikidata.org/entity/Q15115079,Hoher List,549.1,http://www.wikidata.org/entity/Q183,Германия,Point(6.84861111 50.16166667),http://www.wikidata.org/entity/Q666046,вулканический район Айфель
http://www.wikidata.org/entity/Q4363278,Пиратковский,549,http://www.wikidata.org/entity/Q159,Россия,Point(157.85 52.116666666),,
http://www.wikidata.org/entity/Q31454343,Сопка Каменистая,545,http://www.wikidata.org/entity/Q159,Россия,Point(134.386111111 46.8325),,
http://www.wikidata.org/entity/Q31617523,Nancao Shan,545,http://www.wikidata.org/entity/Q865,Китайская Республика (Тайвань),Point(121.8774131 25.0758431),,
http://www.wikidata.org/entity/Q31617523,Nancao Shan,545,http://www.wikidata.org/entity/Q865,Китайская Республика (Тайвань),Point(121.8775 25.076111111),,
http://www.wikidata.org/entity/Q21834347,Segundo Cono Truncado,545,http://www.wikidata.org/entity/Q414,Аргентина,Point(-69.3433 -48.5658),,
http://www.wikidata.org/entity/Q31445503,Campana,545,http://www.wikidata.org/entity/Q928,Филиппины,Point(124.708333333 9.208333333),,
http://www.wikidata.org/entity/Q2664586,Вулкан Головнина,543,http://www.wikidata.org/entity/Q159,Россия,Point(145.505555555 43.843055555),http://www.wikidata.org/entity/Q2372442,Большая Курильская гряда
http://www.wikidata.org/entity/Q1738398,Keluo,542,http://www.wikidata.org/entity/Q148,Китай,Point(125.92 49.37),,
http://www.wikidata.org/entity/Q1738398,Keluo,542,http://www.wikidata.org/entity/Q148,Китай,Point(125.90972222 49.38),,
http://www.wikidata.org/entity/Q1550157,Лате,540,http://www.wikidata.org/entity/Q678,Тонга,Point(-174.65 -18.8),,
http://www.wikidata.org/entity/Q31298904,Niveligs-Berg,540,http://www.wikidata.org/entity/Q183,Германия,Point(6.991111111 50.343888888),,
http://www.wikidata.org/entity/Q383862,Mount Lurus,539,http://www.wikidata.org/entity/Q252,Индонезия,Point(113.580277777 -7.739166666),,
http://www.wikidata.org/entity/Q4128319,Вулкан Чёрного,538,http://www.wikidata.org/entity/Q159,Россия,Point(150.866388888 46.521944444),http://www.wikidata.org/entity/Q2372442,Большая Курильская гряда
http://www.wikidata.org/entity/Q124728033,Q124728033,538,http://www.wikidata.org/entity/Q183,Германия,Point(6.61924 50.2704),,
http://www.wikidata.org/entity/Q4290644,Меньшой Брат,529,http://www.wikidata.org/entity/Q159,Россия,Point(148.783333333 45.383611111),http://www.wikidata.org/entity/Q2372442,Большая Курильская гряда
http://www.wikidata.org/entity/Q4290644,Меньшой Брат,529,http://www.wikidata.org/entity/Q159,Россия,Point(148.78764 45.38329),http://www.wikidata.org/entity/Q2372442,Большая Курильская гряда
http://www.wikidata.org/entity/Q12766129,Fuerteventura,529,http://www.wikidata.org/entity/Q29,Испания,Point(-15.016666666 28.358333333),,
http://www.wikidata.org/entity/Q2087307,Львиная Пасть,528,http://www.wikidata.org/entity/Q159,Россия,Point(146.993888888 44.608333333),http://www.wikidata.org/entity/Q2372442,Большая Курильская гряда
http://www.wikidata.org/entity/Q1623797,Hohenseelbachs-Kopf,517.5,http://www.wikidata.org/entity/Q183,Германия,Point(7.98652778 50.75909722),http://www.wikidata.org/entity/Q1602795,Q1602795
http://www.wikidata.org/entity/Q12766853,Hijiori,516,http://www.wikidata.org/entity/Q17,Япония,Point(140.178333 38.605833),,
