constellation,constellationLabel,area,abbreviation,neighborConstellationsLabel
http://www.wikidata.org/entity/Q10413,Южная Корона,128,CrA,Скорпион
http://www.wikidata.org/entity/Q10413,Южная Корона,128,CrA,Стрелец
http://www.wikidata.org/entity/Q10413,Южная Корона,128,CrA,Жертвенник
http://www.wikidata.org/entity/Q10413,Южная Корона,128,CrA,Телескоп
http://www.wikidata.org/entity/Q10416,Южная Гидра,243,Hyi,Золотая Рыба
http://www.wikidata.org/entity/Q10416,Южная Гидра,243,Hyi,Столовая Гора
http://www.wikidata.org/entity/Q10416,Южная Гидра,243,Hyi,Эридан
http://www.wikidata.org/entity/Q10416,Южная Гидра,243,Hyi,Феникс
http://www.wikidata.org/entity/Q10416,Южная Гидра,243,Hyi,Сетка
http://www.wikidata.org/entity/Q10416,Южная Гидра,243,Hyi,Октант
http://www.wikidata.org/entity/Q10416,Южная Гидра,243,Hyi,Тукан
http://www.wikidata.org/entity/Q10416,Южная Гидра,243,Hyi,Часы
http://www.wikidata.org/entity/Q10422,Южный Треугольник,110,TrA,Жертвенник
http://www.wikidata.org/entity/Q10422,Южный Треугольник,110,TrA,Райская Птица
http://www.wikidata.org/entity/Q10422,Южный Треугольник,110,TrA,Циркуль
http://www.wikidata.org/entity/Q10422,Южный Треугольник,110,TrA,Наугольник
http://www.wikidata.org/entity/Q10425,Голубь,270,Col,Корма
http://www.wikidata.org/entity/Q10425,Голубь,270,Col,Заяц
http://www.wikidata.org/entity/Q10425,Голубь,270,Col,Живописец
http://www.wikidata.org/entity/Q10425,Голубь,270,Col,Резец
http://www.wikidata.org/entity/Q10425,Голубь,270,Col,Большой Пёс
http://www.wikidata.org/entity/Q10428,Единорог,482,Mon,Орион
http://www.wikidata.org/entity/Q10428,Единорог,482,Mon,Близнецы
http://www.wikidata.org/entity/Q10428,Единорог,482,Mon,Корма
http://www.wikidata.org/entity/Q10428,Единорог,482,Mon,Малый Пёс
http://www.wikidata.org/entity/Q10428,Единорог,482,Mon,Заяц
http://www.wikidata.org/entity/Q10428,Единорог,482,Mon,Большой Пёс
http://www.wikidata.org/entity/Q10428,Единорог,482,Mon,Гидра
http://www.wikidata.org/entity/Q10430,Ящерица,201,Lac,Пегас
http://www.wikidata.org/entity/Q10430,Ящерица,201,Lac,Лебедь
http://www.wikidata.org/entity/Q10430,Ящерица,201,Lac,Андромеда
http://www.wikidata.org/entity/Q10430,Ящерица,201,Lac,Кассиопея
http://www.wikidata.org/entity/Q10430,Ящерица,201,Lac,Цефей
http://www.wikidata.org/entity/Q10433,Эридан,1138,Eri,Кит
http://www.wikidata.org/entity/Q10433,Эридан,1138,Eri,Орион
http://www.wikidata.org/entity/Q10433,Эридан,1138,Eri,Печь
http://www.wikidata.org/entity/Q10433,Эридан,1138,Eri,Южная Гидра
http://www.wikidata.org/entity/Q10433,Эридан,1138,Eri,Феникс
http://www.wikidata.org/entity/Q10433,Эридан,1138,Eri,Заяц
http://www.wikidata.org/entity/Q10433,Эридан,1138,Eri,Резец
http://www.wikidata.org/entity/Q10433,Эридан,1138,Eri,Тукан
http://www.wikidata.org/entity/Q10433,Эридан,1138,Eri,Телец
http://www.wikidata.org/entity/Q10433,Эридан,1138,Eri,Часы
http://www.wikidata.org/entity/Q10435,Муха,138,Mus,Центавр
http://www.wikidata.org/entity/Q10435,Муха,138,Mus,Хамелеон
http://www.wikidata.org/entity/Q10435,Муха,138,Mus,Киль
http://www.wikidata.org/entity/Q10435,Муха,138,Mus,Райская Птица
http://www.wikidata.org/entity/Q10435,Муха,138,Mus,Циркуль
http://www.wikidata.org/entity/Q10435,Муха,138,Mus,Южный Крест
http://www.wikidata.org/entity/Q10437,Летучая Рыба,141.4,Vol,Золотая Рыба
http://www.wikidata.org/entity/Q10437,Летучая Рыба,141.4,Vol,Столовая Гора
http://www.wikidata.org/entity/Q10437,Летучая Рыба,141.4,Vol,Хамелеон
http://www.wikidata.org/entity/Q10437,Летучая Рыба,141.4,Vol,Киль
http://www.wikidata.org/entity/Q10437,Летучая Рыба,141.4,Vol,Живописец
http://www.wikidata.org/entity/Q10438,Малый Конь,72,Equ,Пегас
