constellation,constellationLabel,area,abbreviation,neighborConstellations
http://www.wikidata.org/entity/Q8865,Скорпион,497,Sco,http://www.wikidata.org/entity/Q8906
http://www.wikidata.org/entity/Q8865,Скорпион,497,Sco,http://www.wikidata.org/entity/Q9253
http://www.wikidata.org/entity/Q8865,Скорпион,497,Sco,http://www.wikidata.org/entity/Q10413
http://www.wikidata.org/entity/Q8865,Скорпион,497,Sco,http://www.wikidata.org/entity/Q10571
http://www.wikidata.org/entity/Q8865,Скорпион,497,Sco,http://www.wikidata.org/entity/Q10580
http://www.wikidata.org/entity/Q8865,Скорпион,497,Sco,http://www.wikidata.org/entity/Q10582
http://www.wikidata.org/entity/Q8866,Стрелец,867,Sgr,http://www.wikidata.org/entity/Q8865
http://www.wikidata.org/entity/Q8866,Стрелец,867,Sgr,http://www.wikidata.org/entity/Q8906
http://www.wikidata.org/entity/Q8866,Стрелец,867,Sgr,http://www.wikidata.org/entity/Q8910
http://www.wikidata.org/entity/Q8866,Стрелец,867,Sgr,http://www.wikidata.org/entity/Q10413
http://www.wikidata.org/entity/Q8866,Стрелец,867,Sgr,http://www.wikidata.org/entity/Q10450
http://www.wikidata.org/entity/Q8866,Стрелец,867,Sgr,http://www.wikidata.org/entity/Q10492
http://www.wikidata.org/entity/Q8866,Стрелец,867,Sgr,http://www.wikidata.org/entity/Q10529
http://www.wikidata.org/entity/Q8866,Стрелец,867,Sgr,http://www.wikidata.org/entity/Q10535
http://www.wikidata.org/entity/Q8866,Стрелец,867,Sgr,http://www.wikidata.org/entity/Q10546
http://www.wikidata.org/entity/Q8866,Стрелец,867,Sgr,http://www.wikidata.org/entity/Q10586
http://www.wikidata.org/entity/Q8906,Змееносец,948,Oph,http://www.wikidata.org/entity/Q8865
http://www.wikidata.org/entity/Q8906,Змееносец,948,Oph,http://www.wikidata.org/entity/Q8866
http://www.wikidata.org/entity/Q8906,Змееносец,948,Oph,http://www.wikidata.org/entity/Q8910
http://www.wikidata.org/entity/Q8906,Змееносец,948,Oph,http://www.wikidata.org/entity/Q10448
http://www.wikidata.org/entity/Q8906,Змееносец,948,Oph,http://www.wikidata.org/entity/Q10580
http://www.wikidata.org/entity/Q8906,Змееносец,948,Oph,http://www.wikidata.org/entity/Q10586
http://www.wikidata.org/entity/Q8910,Змея,637,Ser,http://www.wikidata.org/entity/Q8667
http://www.wikidata.org/entity/Q8910,Змея,637,Ser,http://www.wikidata.org/entity/Q8842
http://www.wikidata.org/entity/Q8910,Змея,637,Ser,http://www.wikidata.org/entity/Q8866
http://www.wikidata.org/entity/Q8910,Змея,637,Ser,http://www.wikidata.org/entity/Q8906
http://www.wikidata.org/entity/Q8910,Змея,637,Ser,http://www.wikidata.org/entity/Q10406
http://www.wikidata.org/entity/Q8910,Змея,637,Ser,http://www.wikidata.org/entity/Q10448
http://www.wikidata.org/entity/Q8910,Змея,637,Ser,http://www.wikidata.org/entity/Q10529
http://www.wikidata.org/entity/Q8910,Змея,637,Ser,http://www.wikidata.org/entity/Q10580
http://www.wikidata.org/entity/Q8910,Змея,637,Ser,http://www.wikidata.org/entity/Q10586
http://www.wikidata.org/entity/Q8913,Печь,397.5,For,http://www.wikidata.org/entity/Q8839
http://www.wikidata.org/entity/Q8913,Печь,397.5,For,http://www.wikidata.org/entity/Q9286
http://www.wikidata.org/entity/Q8913,Печь,397.5,For,http://www.wikidata.org/entity/Q10433
http://www.wikidata.org/entity/Q8913,Печь,397.5,For,http://www.wikidata.org/entity/Q10441
http://www.wikidata.org/entity/Q8918,Большая Медведица,1280,UMa,http://www.wikidata.org/entity/Q8667
http://www.wikidata.org/entity/Q8918,Большая Медведица,1280,UMa,http://www.wikidata.org/entity/Q8675
http://www.wikidata.org/entity/Q8918,Большая Медведица,1280,UMa,http://www.wikidata.org/entity/Q8832
http://www.wikidata.org/entity/Q8918,Большая Медведица,1280,UMa,http://www.wikidata.org/entity/Q8853
http://www.wikidata.org/entity/Q8918,Большая Медведица,1280,UMa,http://www.wikidata.org/entity/Q9285
http://www.wikidata.org/entity/Q8918,Большая Медведица,1280,UMa,http://www.wikidata.org/entity/Q10403
http://www.wikidata.org/entity/Q8918,Большая Медведица,1280,UMa,http://www.wikidata.org/entity/Q10443
http://www.wikidata.org/entity/Q8918,Большая Медведица,1280,UMa,http://www.wikidata.org/entity/Q10452
