star,starLabel,constellation,constellationLabel,starTypeLabel
http://www.wikidata.org/entity/Q83690074,[CBH2015] V964,http://www.wikidata.org/entity/Q13878,Messier 37,переменная звезда
http://www.wikidata.org/entity/Q83690095,[CBH2015] V729,http://www.wikidata.org/entity/Q13878,Messier 37,переменная звезда
http://www.wikidata.org/entity/Q83690114,[CBH2015] V1418,http://www.wikidata.org/entity/Q13878,Messier 37,переменная звезда
http://www.wikidata.org/entity/Q83690194,Cl* NGC 2099 HGH V1330,http://www.wikidata.org/entity/Q13878,Messier 37,переменная звезда
http://www.wikidata.org/entity/Q83690217,[CBH2015] V998,http://www.wikidata.org/entity/Q13878,Messier 37,переменная звезда
http://www.wikidata.org/entity/Q83690221,[CBH2015] V341,http://www.wikidata.org/entity/Q13878,Messier 37,переменная звезда
http://www.wikidata.org/entity/Q83690231,[CBH2015] V1204,http://www.wikidata.org/entity/Q13878,Messier 37,переменная звезда
http://www.wikidata.org/entity/Q83690248,[CBH2015] V856,http://www.wikidata.org/entity/Q13878,Messier 37,переменная звезда
http://www.wikidata.org/entity/Q83690252,[CBH2015] V403,http://www.wikidata.org/entity/Q13878,Messier 37,переменная звезда
http://www.wikidata.org/entity/Q83690257,[CBH2015] V895,http://www.wikidata.org/entity/Q13878,Messier 37,переменная звезда
http://www.wikidata.org/entity/Q83690264,[CBH2015] V703,http://www.wikidata.org/entity/Q13878,Messier 37,переменная звезда
http://www.wikidata.org/entity/Q83690266,[CBH2015] V1253,http://www.wikidata.org/entity/Q13878,Messier 37,переменная звезда
http://www.wikidata.org/entity/Q83690268,[CBH2015] V1049,http://www.wikidata.org/entity/Q13878,Messier 37,переменная звезда
http://www.wikidata.org/entity/Q83690301,[CBH2015] V839,http://www.wikidata.org/entity/Q13878,Messier 37,переменная звезда
http://www.wikidata.org/entity/Q83690318,[CBH2015] V167,http://www.wikidata.org/entity/Q13878,Messier 37,переменная звезда
http://www.wikidata.org/entity/Q83690333,[CBH2015] V1242,http://www.wikidata.org/entity/Q13878,Messier 37,переменная звезда
http://www.wikidata.org/entity/Q78320951,[PGU2006] cep046,http://www.wikidata.org/entity/Q489940,NGC 3109,переменная звезда
http://www.wikidata.org/entity/Q78321372,[PGU2006] cep113,http://www.wikidata.org/entity/Q489940,NGC 3109,переменная звезда
http://www.wikidata.org/entity/Q78322061,[PGU2006] cep049,http://www.wikidata.org/entity/Q489940,NGC 3109,переменная звезда
http://www.wikidata.org/entity/Q78322402,[PGU2006] cep083,http://www.wikidata.org/entity/Q489940,NGC 3109,переменная звезда
http://www.wikidata.org/entity/Q78323211,[PGU2006] cep042,http://www.wikidata.org/entity/Q489940,NGC 3109,переменная звезда
http://www.wikidata.org/entity/Q78325658,[PGU2006] cep085,http://www.wikidata.org/entity/Q489940,NGC 3109,переменная звезда
http://www.wikidata.org/entity/Q78325734,[PGU2006] cep019,http://www.wikidata.org/entity/Q489940,NGC 3109,переменная звезда
http://www.wikidata.org/entity/Q76788414,V1782 Стрельца,http://www.wikidata.org/entity/Q2001397,NGC 6530,переменная звезда
