star,starLabel,constellation,constellationLabel,starType,starTypeLabel
http://www.wikidata.org/entity/Q75104944,Q75104944,http://www.wikidata.org/entity/Q32889,карликовая галактика в созвездии Скульптор,http://www.wikidata.org/entity/Q6243,переменная звезда
http://www.wikidata.org/entity/Q77560374,Q77560374,http://www.wikidata.org/entity/Q49957,Большое Магелланово Облако,http://www.wikidata.org/entity/Q5898,красный сверхгигант
http://www.wikidata.org/entity/Q83735383,Q83735383,http://www.wikidata.org/entity/Q13724,галактика Треугольника,http://www.wikidata.org/entity/Q5898,красный сверхгигант
http://www.wikidata.org/entity/Q74702479,Q74702479,http://www.wikidata.org/entity/Q49957,Большое Магелланово Облако,http://www.wikidata.org/entity/Q6243,переменная звезда
http://www.wikidata.org/entity/Q67858545,V1069 Тельца,http://www.wikidata.org/entity/Q932065,Молекулярное Облако Тельца,http://www.wikidata.org/entity/Q6243,переменная звезда
http://www.wikidata.org/entity/Q79493250,Q79493250,http://www.wikidata.org/entity/Q13724,галактика Треугольника,http://www.wikidata.org/entity/Q5898,красный сверхгигант
http://www.wikidata.org/entity/Q83733738,Q83733738,http://www.wikidata.org/entity/Q13724,галактика Треугольника,http://www.wikidata.org/entity/Q5898,красный сверхгигант
http://www.wikidata.org/entity/Q78186856,Q78186856,http://www.wikidata.org/entity/Q5178054,Стивенсон 2,http://www.wikidata.org/entity/Q5898,красный сверхгигант
http://www.wikidata.org/entity/Q79515601,Q79515601,http://www.wikidata.org/entity/Q13724,галактика Треугольника,http://www.wikidata.org/entity/Q5898,красный сверхгигант
http://www.wikidata.org/entity/Q75145046,Q75145046,http://www.wikidata.org/entity/Q49957,Большое Магелланово Облако,http://www.wikidata.org/entity/Q6243,переменная звезда
http://www.wikidata.org/entity/Q75103905,Q75103905,http://www.wikidata.org/entity/Q32889,карликовая галактика в созвездии Скульптор,http://www.wikidata.org/entity/Q6243,переменная звезда
http://www.wikidata.org/entity/Q5715868,BU Персея,http://www.wikidata.org/entity/Q1327951,Двойное скопление в Персее,http://www.wikidata.org/entity/Q5898,красный сверхгигант
http://www.wikidata.org/entity/Q75821643,эпсилон² Лиры,http://www.wikidata.org/entity/Q13355,эпсилон Лиры,http://www.wikidata.org/entity/Q6243,переменная звезда
http://www.wikidata.org/entity/Q79509305,Q79509305,http://www.wikidata.org/entity/Q13724,галактика Треугольника,http://www.wikidata.org/entity/Q5898,красный сверхгигант
http://www.wikidata.org/entity/Q77846692,Q77846692,http://www.wikidata.org/entity/Q2731972,Карликовая неправильная галактика в Пегасе,http://www.wikidata.org/entity/Q5898,красный сверхгигант
http://www.wikidata.org/entity/Q85273230,Q85273230,http://www.wikidata.org/entity/Q13958,Q13958,http://www.wikidata.org/entity/Q5898,красный сверхгигант
http://www.wikidata.org/entity/Q83733446,Q83733446,http://www.wikidata.org/entity/Q13724,галактика Треугольника,http://www.wikidata.org/entity/Q5898,красный сверхгигант
http://www.wikidata.org/entity/Q85744166,Q85744166,http://www.wikidata.org/entity/Q5178054,Стивенсон 2,http://www.wikidata.org/entity/Q5898,красный сверхгигант
http://www.wikidata.org/entity/Q77851470,Q77851470,http://www.wikidata.org/entity/Q1282228,Секстант A,http://www.wikidata.org/entity/Q5898,красный сверхгигант
http://www.wikidata.org/entity/Q79491014,Q79491014,http://www.wikidata.org/entity/Q13724,галактика Треугольника,http://www.wikidata.org/entity/Q5898,красный сверхгигант
http://www.wikidata.org/entity/Q83737048,Q83737048,http://www.wikidata.org/entity/Q13724,галактика Треугольника,http://www.wikidata.org/entity/Q5898,красный сверхгигант
http://www.wikidata.org/entity/Q83733749,Q83733749,http://www.wikidata.org/entity/Q13724,галактика Треугольника,http://www.wikidata.org/entity/Q5898,красный сверхгигант
http://www.wikidata.org/entity/Q75253480,Q75253480,http://www.wikidata.org/entity/Q14276,47 Тукана,http://www.wikidata.org/entity/Q6243,переменная звезда
http://www.wikidata.org/entity/Q83736307,Q83736307,http://www.wikidata.org/entity/Q13724,галактика Треугольника,http://www.wikidata.org/entity/Q5898,красный сверхгигант
http://www.wikidata.org/entity/Q83736010,Q83736010,http://www.wikidata.org/entity/Q13724,галактика Треугольника,http://www.wikidata.org/entity/Q5898,красный сверхгигант
http://www.wikidata.org/entity/Q83734210,Q83734210,http://www.wikidata.org/entity/Q13724,галактика Треугольника,http://www.wikidata.org/entity/Q5898,красный сверхгигант
http://www.wikidata.org/entity/Q74958370,Q74958370,http://www.wikidata.org/entity/Q67857388,Q67857388,http://www.wikidata.org/entity/Q6243,переменная звезда
http://www.wikidata.org/entity/Q83735108,Q83735108,http://www.wikidata.org/entity/Q13724,галактика Треугольника,http://www.wikidata.org/entity/Q5898,красный сверхгигант
http://www.wikidata.org/entity/Q83737060,Q83737060,http://www.wikidata.org/entity/Q13724,галактика Треугольника,http://www.wikidata.org/entity/Q5898,красный сверхгигант
http://www.wikidata.org/entity/Q79510679,Q79510679,http://www.wikidata.org/entity/Q13724,галактика Треугольника,http://www.wikidata.org/entity/Q5898,красный сверхгигант
http://www.wikidata.org/entity/Q56865457,Z Тукана,http://www.wikidata.org/entity/Q49984,Малое Магелланово Облако,http://www.wikidata.org/entity/Q5898,красный сверхгигант
http://www.wikidata.org/entity/Q75104980,Q75104980,http://www.wikidata.org/entity/Q32889,карликовая галактика в созвездии Скульптор,http://www.wikidata.org/entity/Q6243,переменная звезда
http://www.wikidata.org/entity/Q84376885,Q84376885,http://www.wikidata.org/entity/Q622789,Barnard's galaxy,http://www.wikidata.org/entity/Q5898,красный сверхгигант
http://www.wikidata.org/entity/Q541042,омикрон¹ Большого Пса,http://www.wikidata.org/entity/Q84278979,Collinder 121,http://www.wikidata.org/entity/Q5898,красный сверхгигант
http://www.wikidata.org/entity/Q79500334,Q79500334,http://www.wikidata.org/entity/Q13724,галактика Треугольника,http://www.wikidata.org/entity/Q5898,красный сверхгигант
http://www.wikidata.org/entity/Q75104385,Q75104385,http://www.wikidata.org/entity/Q32889,карликовая галактика в созвездии Скульптор,http://www.wikidata.org/entity/Q6243,переменная звезда
http://www.wikidata.org/entity/Q83737222,Q83737222,http://www.wikidata.org/entity/Q13724,галактика Треугольника,http://www.wikidata.org/entity/Q5898,красный сверхгигант
http://www.wikidata.org/entity/Q76814103,HV 888,http://www.wikidata.org/entity/Q49957,Большое Магелланово Облако,http://www.wikidata.org/entity/Q5898,красный сверхгигант
http://www.wikidata.org/entity/Q79496133,Q79496133,http://www.wikidata.org/entity/Q13724,галактика Треугольника,http://www.wikidata.org/entity/Q5898,красный сверхгигант
http://www.wikidata.org/entity/Q75104088,Q75104088,http://www.wikidata.org/entity/Q32889,карликовая галактика в созвездии Скульптор,http://www.wikidata.org/entity/Q6243,переменная звезда
http://www.wikidata.org/entity/Q84376896,Q84376896,http://www.wikidata.org/entity/Q622789,Barnard's galaxy,http://www.wikidata.org/entity/Q5898,красный сверхгигант
http://www.wikidata.org/entity/Q79625888,V772 Центавра,http://www.wikidata.org/entity/Q79642350,IC 2944,http://www.wikidata.org/entity/Q5898,красный сверхгигант
http://www.wikidata.org/entity/Q85744492,Q85744492,http://www.wikidata.org/entity/Q5178054,Стивенсон 2,http://www.wikidata.org/entity/Q5898,красный сверхгигант
http://www.wikidata.org/entity/Q75271657,Q75271657,http://www.wikidata.org/entity/Q14276,47 Тукана,http://www.wikidata.org/entity/Q6243,переменная звезда
http://www.wikidata.org/entity/Q79488188,Q79488188,http://www.wikidata.org/entity/Q13724,галактика Треугольника,http://www.wikidata.org/entity/Q5898,красный сверхгигант
http://www.wikidata.org/entity/Q76810764,Q76810764,http://www.wikidata.org/entity/Q49957,Большое Магелланово Облако,http://www.wikidata.org/entity/Q5898,красный сверхгигант
http://www.wikidata.org/entity/Q83734077,Q83734077,http://www.wikidata.org/entity/Q13724,галактика Треугольника,http://www.wikidata.org/entity/Q5898,красный сверхгигант
http://www.wikidata.org/entity/Q83733931,Q83733931,http://www.wikidata.org/entity/Q13724,галактика Треугольника,http://www.wikidata.org/entity/Q5898,красный сверхгигант
http://www.wikidata.org/entity/Q5856387,V466 Кассиопеи,http://www.wikidata.org/entity/Q730450,Q730450,http://www.wikidata.org/entity/Q5898,красный сверхгигант
http://www.wikidata.org/entity/Q76814370,Q76814370,http://www.wikidata.org/entity/Q49957,Большое Магелланово Облако,http://www.wikidata.org/entity/Q5898,красный сверхгигант
http://www.wikidata.org/entity/Q66613140,V361 Киля,http://www.wikidata.org/entity/Q1104098,Q1104098,http://www.wikidata.org/entity/Q5898,красный сверхгигант
http://www.wikidata.org/entity/Q83733780,Q83733780,http://www.wikidata.org/entity/Q13724,галактика Треугольника,http://www.wikidata.org/entity/Q5898,красный сверхгигант
http://www.wikidata.org/entity/Q74850722,V373 Киля,http://www.wikidata.org/entity/Q745008,Q745008,http://www.wikidata.org/entity/Q6243,переменная звезда
http://www.wikidata.org/entity/Q78171750,Q78171750,http://www.wikidata.org/entity/Q49984,Малое Магелланово Облако,http://www.wikidata.org/entity/Q5898,красный сверхгигант
http://www.wikidata.org/entity/Q85744654,Q85744654,http://www.wikidata.org/entity/Q5178054,Стивенсон 2,http://www.wikidata.org/entity/Q5898,красный сверхгигант
http://www.wikidata.org/entity/Q79504551,Q79504551,http://www.wikidata.org/entity/Q13724,галактика Треугольника,http://www.wikidata.org/entity/Q5898,красный сверхгигант
http://www.wikidata.org/entity/Q86359420,Q86359420,http://www.wikidata.org/entity/Q629111,Q629111,http://www.wikidata.org/entity/Q5898,красный сверхгигант
http://www.wikidata.org/entity/Q75103952,Q75103952,http://www.wikidata.org/entity/Q32889,карликовая галактика в созвездии Скульптор,http://www.wikidata.org/entity/Q6243,переменная звезда
http://www.wikidata.org/entity/Q79513254,Q79513254,http://www.wikidata.org/entity/Q13724,галактика Треугольника,http://www.wikidata.org/entity/Q5898,красный сверхгигант
http://www.wikidata.org/entity/Q83789346,Q83789346,http://www.wikidata.org/entity/Q2469,Галактика Андромеды,http://www.wikidata.org/entity/Q5898,красный сверхгигант
http://www.wikidata.org/entity/Q83734237,Q83734237,http://www.wikidata.org/entity/Q13724,галактика Треугольника,http://www.wikidata.org/entity/Q5898,красный сверхгигант
http://www.wikidata.org/entity/Q77847473,Q77847473,http://www.wikidata.org/entity/Q782095,Карликовая галактика в Фениксе,http://www.wikidata.org/entity/Q5898,красный сверхгигант
http://www.wikidata.org/entity/Q83736494,Q83736494,http://www.wikidata.org/entity/Q13724,галактика Треугольника,http://www.wikidata.org/entity/Q5898,красный сверхгигант
http://www.wikidata.org/entity/Q76805231,Q76805231,http://www.wikidata.org/entity/Q49957,Большое Магелланово Облако,http://www.wikidata.org/entity/Q5898,красный сверхгигант
http://www.wikidata.org/entity/Q75104709,Q75104709,http://www.wikidata.org/entity/Q32889,карликовая галактика в созвездии Скульптор,http://www.wikidata.org/entity/Q6243,переменная звезда
http://www.wikidata.org/entity/Q75273325,Q75273325,http://www.wikidata.org/entity/Q14276,47 Тукана,http://www.wikidata.org/entity/Q6243,переменная звезда
http://www.wikidata.org/entity/Q79498109,Q79498109,http://www.wikidata.org/entity/Q13724,галактика Треугольника,http://www.wikidata.org/entity/Q5898,красный сверхгигант
http://www.wikidata.org/entity/Q83987481,Q83987481,http://www.wikidata.org/entity/Q13724,галактика Треугольника,http://www.wikidata.org/entity/Q5898,красный сверхгигант
http://www.wikidata.org/entity/Q83735297,Q83735297,http://www.wikidata.org/entity/Q13724,галактика Треугольника,http://www.wikidata.org/entity/Q5898,красный сверхгигант
http://www.wikidata.org/entity/Q79488214,Q79488214,http://www.wikidata.org/entity/Q13724,галактика Треугольника,http://www.wikidata.org/entity/Q5898,красный сверхгигант
http://www.wikidata.org/entity/Q83734402,Q83734402,http://www.wikidata.org/entity/Q13724,галактика Треугольника,http://www.wikidata.org/entity/Q5898,красный сверхгигант
http://www.wikidata.org/entity/Q77847201,Q77847201,http://www.wikidata.org/entity/Q2731972,Карликовая неправильная галактика в Пегасе,http://www.wikidata.org/entity/Q5898,красный сверхгигант
http://www.wikidata.org/entity/Q85744369,Q85744369,http://www.wikidata.org/entity/Q5178054,Стивенсон 2,http://www.wikidata.org/entity/Q5898,красный сверхгигант
