star,starLabel,constellation
http://www.wikidata.org/entity/Q5097627,E Центавра,http://www.wikidata.org/entity/Q67856760
http://www.wikidata.org/entity/Q5097632,G Центавра,http://www.wikidata.org/entity/Q67856760
http://www.wikidata.org/entity/Q5097635,H Центавра,http://www.wikidata.org/entity/Q67856760
http://www.wikidata.org/entity/Q5097669,Q5097669,http://www.wikidata.org/entity/Q67856760
http://www.wikidata.org/entity/Q5097708,J Центавра,http://www.wikidata.org/entity/Q67856760
http://www.wikidata.org/entity/Q5097719,N Центавра A,http://www.wikidata.org/entity/Q84629182
http://www.wikidata.org/entity/Q5097781,V810 Центавра,http://www.wikidata.org/entity/Q66491548
http://www.wikidata.org/entity/Q5097784,V831 Центавра,http://www.wikidata.org/entity/Q67856760
http://www.wikidata.org/entity/Q5098085,эта Хамелеона,http://www.wikidata.org/entity/Q3627282
http://www.wikidata.org/entity/Q5098370,дзета² Северной Короны,http://www.wikidata.org/entity/Q5098368
http://www.wikidata.org/entity/Q5098407,дзета Чаши,http://www.wikidata.org/entity/Q1195678
http://www.wikidata.org/entity/Q5098426,Q5098426,http://www.wikidata.org/entity/Q67856760
http://www.wikidata.org/entity/Q5174433,Q5174433,http://www.wikidata.org/entity/Q49957
http://www.wikidata.org/entity/Q5174496,Q5174496,http://www.wikidata.org/entity/Q77840143
http://www.wikidata.org/entity/Q5174554,тета Дракона,http://www.wikidata.org/entity/Q7213904
http://www.wikidata.org/entity/Q5175138,каппа Геркулеса,http://www.wikidata.org/entity/Q10939524
http://www.wikidata.org/entity/Q5175161,Q5175161,http://www.wikidata.org/entity/Q982779
http://www.wikidata.org/entity/Q5175314,V419 Гидры,http://www.wikidata.org/entity/Q88724310
http://www.wikidata.org/entity/Q5175375,ипсилон¹ Гидры,http://www.wikidata.org/entity/Q1195678
http://www.wikidata.org/entity/Q5175570,Q5175570,http://www.wikidata.org/entity/Q67856760
http://www.wikidata.org/entity/Q5175707,GJ 3685A,http://www.wikidata.org/entity/Q81972984
http://www.wikidata.org/entity/Q5175884,Q5175884,http://www.wikidata.org/entity/Q96375302
http://www.wikidata.org/entity/Q5176103,Q5176103,http://www.wikidata.org/entity/Q67622018
http://www.wikidata.org/entity/Q1749146,39 Рака,http://www.wikidata.org/entity/Q13760
http://www.wikidata.org/entity/Q1784175,лямбда Волопаса,http://www.wikidata.org/entity/Q8667
http://www.wikidata.org/entity/Q1851733,Q1851733,http://www.wikidata.org/entity/Q5175138
http://www.wikidata.org/entity/Q1863893,22 Тельца,http://www.wikidata.org/entity/Q13423
http://www.wikidata.org/entity/Q1863893,22 Тельца,http://www.wikidata.org/entity/Q13446
http://www.wikidata.org/entity/Q2023236,омега Киля,http://www.wikidata.org/entity/Q2552390
http://www.wikidata.org/entity/Q2032028,Q2032028,http://www.wikidata.org/entity/Q10917735
http://www.wikidata.org/entity/Q2067421,Q2067421,http://www.wikidata.org/entity/Q94879
http://www.wikidata.org/entity/Q2067421,Q2067421,http://www.wikidata.org/entity/Q83614740
http://www.wikidata.org/entity/Q2067421,Q2067421,http://www.wikidata.org/entity/Q88724310
http://www.wikidata.org/entity/Q2072696,Q2072696,http://www.wikidata.org/entity/Q67856755
http://www.wikidata.org/entity/Q2072696,Q2072696,http://www.wikidata.org/entity/Q113773938
http://www.wikidata.org/entity/Q2088212,Q2088212,http://www.wikidata.org/entity/Q93943754
http://www.wikidata.org/entity/Q2090157,Альфа Центавра A,http://www.wikidata.org/entity/Q12176
http://www.wikidata.org/entity/Q2268658,SZ Чаши,http://www.wikidata.org/entity/Q1195678
http://www.wikidata.org/entity/Q2278229,каппа Центавра,http://www.wikidata.org/entity/Q67856755
http://www.wikidata.org/entity/Q2331297,Гиперсветящийся источник рентгеновского излучения номер один,http://www.wikidata.org/entity/Q1275934
http://www.wikidata.org/entity/Q2335506,гамма Микроскопа,http://www.wikidata.org/entity/Q1195678
http://www.wikidata.org/entity/Q2399480,сигма Льва,http://www.wikidata.org/entity/Q10941554
http://www.wikidata.org/entity/Q2402062,V394 Возничего,http://www.wikidata.org/entity/Q83614979
http://www.wikidata.org/entity/Q2403896,S Единорога A,http://www.wikidata.org/entity/Q76851296
http://www.wikidata.org/entity/Q2404007,35 Рака,http://www.wikidata.org/entity/Q13760
http://www.wikidata.org/entity/Q2426587,AH Cancri,http://www.wikidata.org/entity/Q13997
http://www.wikidata.org/entity/Q2479744,VFTS 102,http://www.wikidata.org/entity/Q23306973
http://www.wikidata.org/entity/Q2535232,Q2535232,http://www.wikidata.org/entity/Q3498825
http://www.wikidata.org/entity/Q2535232,Q2535232,http://www.wikidata.org/entity/Q78444445
http://www.wikidata.org/entity/Q2535232,Q2535232,http://www.wikidata.org/entity/Q93943754
http://www.wikidata.org/entity/Q2550715,пси Парусов,http://www.wikidata.org/entity/Q1049735
http://www.wikidata.org/entity/Q2601467,Q2601467,http://www.wikidata.org/entity/Q933252
http://www.wikidata.org/entity/Q2607823,94 Водолея A,http://www.wikidata.org/entity/Q67622055
